Generic,Specialised,Abbreviations
,Ofatumumab,
,Ogsiveo,
,Ojemda,
,Ojjaara,
,Olaparib,
,Olutasidenib,
,Omacetaxine Mepesuccinate,
,Oncaspar,
,Ondansetron Hydrochloride,
,Onivyde,
,Onureg,
,Opdivo,
,Opdivo Qvantig,
,Opdualag,
,Orgovyx,
,Orserdu,
,Osimertinib Mesylate,
,Oxaliplatin,
,Paclitaxel,
,Paclitaxel Albumin-stabilized Nanoparticle Formulation,
,Pacritinib Citrate,
,Padcev,
,Palbociclib,
,Palifermin,
,Palonosetron Hydrochloride,
,Palonosetron Hydrochloride and Netupitant,
,Pamidronate Disodium,
,Panitumumab,
,Paraplatin,
,Pazopanib Hydrochloride,
,Pegaspargase,
,Pegfilgrastim,
,Pemazyre,
,Pembrolizumab,
,Pemetrexed Disodium,
,Pemigatinib,
,Penpulimab-kcqx,
,Perjeta,
,Pertuzumab,
,"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf",
,Pexidartinib Hydrochloride,
,Phesgo,
,Piqray,
,Pirtobrutinib,
,Plerixafor,
,Pluvicto,
,Polatuzumab Vedotin-piiq,
,Polivy,
,Pomalidomide,
,Pomalyst,
,Ponatinib Hydrochloride,
,Portrazza,
,Poteligeo,
,Pralatrexate,
,Pralsetinib,
,Prednisone,
,Procarbazine Hydrochloride,
,Procrit,
,Proleukin,
,Prolia,
,Promacta,
,Propranolol Hydrochloride,
,Provenge,
,Purinethol,
,Purixan,
,Qinlock,
,Quizartinib Dihydrochloride,
,Radium 223 Dichloride,
,Raloxifene Hydrochloride,
,Ramucirumab,
,Rasburicase,
,Ravulizumab-cwvz,
,Reblozyl,
,Recombinant HPV Bivalent Vaccine,
,Recombinant HPV Nonavalent Vaccine,
,Recombinant HPV Quadrivalent Vaccine,
,Recombinant Human Papillomavirus (HPV) Bivalent Vaccine,
,Recombinant Human Papillomavirus (HPV) Nonavalent Vaccine,
,Recombinant Human Papillomavirus (HPV) Quadrivalent Vaccine,
,Recombinant Interferon Alfa-2b,
,Regorafenib,
,Relistor,
,Relugolix,
,Repotrectinib,
,Retacrit,
,Retevmo,
,Retifanlimab-dlwr,
,Revlimid,
,Revuforj,
,Revumenib Citrate,
,Rezlidhia,
,Riabni,
,Ribociclib Succinate,
,Ribociclib Succinate and Letrozole,
,Ribociclib Succinate,
,Ripretinib,
,Rituxan,
,Rituxan Hycela,
,Rituximab,
,Rituximab and Hyaluronidase Human,
,Rolapitant Hydrochloride,
,Romidepsin,
,Romiplostim,
,Romvimza,
,Ropeginterferon Alfa-2b-njft,
,Rozlytrek,
,Rubraca,
,Rucaparib Camsylate,
,Ruxience,
,Ruxolitinib Phosphate,
,Rybrevant,
,Rydapt,
,Rylaze,
,Rytelo,
,Sacituzumab Govitecan-hziy,
,Sancuso,
,Sarclisa,
,Scemblix,
,Sclerosol Intrapleural Aerosol,
,Selinexor,
,Selpercatinib,
,Selumetinib Sulfate,
,Siltuximab,
,Sipuleucel-T,
,Sipuleucel T,
,Sirolimus Protein-Bound Particles,
,Soltamox,
,Somatuline Depot,
,Sonidegib,
,Sorafenib Tosylate,
,Sotorasib,
,Sprycel,
,Sterile Talc Powder,
,Steritalc,
,Stivarga,
,Sunitinib Malate,
,Sustol,
,Sutent,
,Sylvant,
,Synribo,
,Tabloid,
,Tabrecta,
,Tafasitamab-cxix,
,Tafinlar,
,Tagraxofusp-erzs,
,Tagrisso,
,Talazoparib Tosylate,
,Talc,
,Talimogene Laherparepvec,
,Talquetamab-tgvs,
,Talvey,
,Talzenna,
,Tamoxifen Citrate,
,Tarceva,
,Targretin,
,Tarlatamab-dlle,
,Tasigna,
,Tavalisse,
,Taxotere,
,Tazemetostat Hydrobromide,
,Tazverik,
,Tebentafusp-tebn,
,Tebentafusp tebn,
,Tecartus,
,Tecelra,
,Tecentriq,
,Tecentriq Hybreza,
,Teclistamab-cqyv,
,Teclistamab cqyv,
,Tecvayli,
,Temodar,
,Temozolomide,
,Temsirolimus,
,Tepadina,
,Tepmetko,
,Tepotinib Hydrochloride,
,Tevimbra,
,Thalidomide,
,Thalomid,
,Thioguanine,
,Thiotepa,
,Tibsovo,
,Tisagenlecleucel,
,Tislelizumab-jsgr,
,Tisotumab Vedotin-tftv,
,Tivdak,
,Tivozanib Hydrochloride,
,Tocilizumab,
,Tolak,
,Topotecan Hydrochloride,
,Toremifene,
,Toripalimab-tpzi,
,Torisel,
,Totect,
,Tovorafenib,
,Trabectedin,
,Trametinib Dimethyl Sulfoxide,
,Trametinib Dimethyl Sulfoxide,
,Trastuzumab,
,Trastuzumab and Hyaluronidase-oysk,
,Treanda,
,Trelstar,
,Trelstar Depot,
,Tremelimumab-actl,
,Treosulfan,
,Trexall,
,Trifluridine and Tipiracil Hydrochloride,
,Triptorelin Pamoate,
,Trisenox,
,Trodelvy,
,Truqap,
,Truxima,
,Tucatinib,
,Tukysa,
,Turalio,
,Tykerb,
,Ultomiris,
,Undencyca,
,Unituxin,
,Unloxcyt,
,Uridine Triacetate,
,Valrubicin,
,Valstar,
,Vandetanib,
,Vanflyta,
,Varubi,
,Vectibix,
,VeIP,
,Velcade,
,Vemurafenib,
,Venclexta,
,Venetoclax,
,Verzenio,
,Vidaza,
,Vimseltinib Dihydrate,
,Vinblastine Sulfate,
,Vincristine Sulfate,
,Vinorelbine Tartrate,
,Vismodegib,
,Vistogard,
,Vitrakvi,
,Vizimpro,
,Vonjo,
,Voranigo,
,Vorasidenib Citrate,
,Voraxaze,
,Vorinostat,
,Votrient,
,Vyloy,
,Vyxeos,
,Welireg,
,Xalkori,
,Xatmep,
,Xeloda,
,Xgeva,
,Xofigo,
,Xospata,
,Xpovio,
,Xtandi,
,Yervoy,
,Yescarta,
,Yondelis,
,Yonsa,
,Zaltrap,
,Zanidatamab-hrii,
,Zanubrutinib,
,Zarxio,
,Zejula,
,Zelboraf,
,Zenocutuzumab-zbco,
,Zepzelca,
,Zevalin,
,Ziextenzo,
,Ziihera,
,Zinecard,
,Zirabev,
,Ziv-Aflibercept,
,Zofran,
,Zoladex,
,Zolbetuximab-clzb,
,Zoledronic Acid,
,Zolinza,
,Zometa,
,Zyclara,
,Zydelig,
,Zykadia,
,Zynlonta,
,Zynyz,
,Zytiga,
,Metastatic Gastroenteropancreatic Neuroendocrine Tumors,
,Neuroendocrine Tumors,
,Metastatic Colorectal Cancer,
,Colorectal Cancer,
,Carcinoma Colorectal,
,Post-Colonoscopy Colorectal Cancer ,
,Colorectal Carcinoma ,
,Colo-rectal Cancer ,
,Colorectal Cancers ,
,Colon Rectal Cancer ,
,Colorectal Carcinomas ,
,Colorectal Neoplasm ,
,MSI-H/dMMR Colorectal Cancer ,
,Adenocarcinoma Renal ,
,Advanced Renal Cell Carcinoma ,
,Clear Cell Renal Cell Carcinoma ,
,Clear-Cell-Renal-Cell Carcinoma ,
,Metastatic Renal Cell Carcinoma ,
,Renal Cell Carcinoma ,
,Renal Cancers ,
,Renal Carcinoma ,
,Renal Cell Adenocarcinoma ,
,Renal Cell Cancer ,
,Renal Cell Carcinomas ,
,Renal Clear Cell Carcinoma ,
,Renal Malignant Tumor ,
,Non-Clear Cell Renal Cell Carcinoma ,
,Zanzalintinib,
,belzutifan,
,Pamiparib,
,TOURMALINE-MM1,
,TOURMALINE MM1,
,CARBOPLATIN-TAXOL,
,CARBOPLATIN TAXOL,
,CHLORAMBUCIL-PREDNISONE,
,CHLORAMBUCIL PREDNISONE,
,FOLFIRI,
,FOLFIRI BEVACIZUMAB,
,FOLFIRI-BEVACIZUMAB,
,FOLFIRI-CETUXIMAB,
,FOLFIRI CETUXIMAB,
,GEMCITABINE-CISPLATIN,
,GEMCITABINE CISPLATIN,
,GEMCITABINE-OXALIPLATIN,
,GEMCITABINE OXALIPLATIN,
